title,abstract,url,publication_year,authors,institutions
Dynamics of aluminum combustion,"A study has been performed modeling both steady and unsteady combustion of aluminum. Law's steadystate aluminum combustion model has been expanded to include the effects of multiple oxidizers and their products, oxide accumulation on the surface of the burning aluminum particle, and convection. Both transport and thermodynamic properties are calculated internally for varying temperatures, relaxing the normal assumption of unity Lewis number. The aluminum combustion model has been compared to experimental data from burners, laser-ignited particles, and propellant under a variety of conditions, showing a reasonable degree of agreement. Calculations with the model show that O2 is a stronger oxidizer than H2O, which in turn is stronger than CO2. The aluminum combustion model was incorporated into a computer model for predicting acoustic effects in a Rijke burner. Calculations have shown that a significant part of the increase in acousticgrowth due to the addition of aluminum is due strictly to the change in the gas temperature profile. The change in temperature profile apparently causes the location of the velocity antinode to shift relative to the Rijke burner flame and thereby cause an increase in the flame response. The acoustic model agrees reasonably well with available acoustic growth rates for data where aluminum particles have been added to a propane Rijke burner. Nomenclature ak = sum of the mole fractions of the oxidizers in Eq. (1) Cp = heat capacity, J/kg D = diffusivity, irr/s d = particle diameter, m F = ratio of total mass flux to mass flux aluminum H = total flux of energy in aluminum combustion model, W/m2; heat of reaction, J/mol j = mass flux due to diffusion, kg/m2/s k =. arbitrary constant in Eq. (1) M = nondimensional mass flux used in Law's aluminum combustion model /?2 = mass flux, kg/m2/s Nu = Nusselt number p = pressure, N/m2 Qr = heat production due to a reaction, W/m3; heat caused by radiation, W/m2 <92 = enthalpy in the region from the flame to infinity q = heat flux, W/m2 Re = Reynolds number r = radial distance, m; reaction rate, kg/mVs T = temperature, K t = time, s v — velocity, m/s; volume, m3 \v = transport property weighting factor A- = mole fraction 77 = fraction of vaporized oxide that moves toward the particle surface 0 = fraction of metal oxide that vaporizes at the flame A = fraction of metal that reacts with the particular oxidizing species v = stoichiometric mass ratio of oxide or oxidizer to metal f = fraction of condensed products with move inward or outward p = density, kg/m3 T = characteristic time lag, s",https://openalex.org/W2132165221,1995,Kristen P. Brooks; M. W. Beckstead,Brigham Young University
"An experimental study of element partitioning among biotite, muscovite, and coexisting peraluminous silicic melt at 200 MPa (H<sub>2</sub>O)","Other| December 01, 1995 An experimental study of element partitioning among biotite, muscovite, and coexisting peraluminous silicic melt at 200 MPa (H2O) Jonathan Icenhower; Jonathan Icenhower University of Oklahoma, School of Geology and Geophysics, Norman, OK, United States Search for other works by this author on: GSW Google Scholar David London David London Search for other works by this author on: GSW Google Scholar American Mineralogist (1995) 80 (11-12): 1229–1251. https://doi.org/10.2138/am-1995-11-1213 Article history first online: 02 Mar 2017 Cite View This Citation Add to Citation Manager Share Icon Share Twitter LinkedIn Tools Icon Tools Get Permissions Search Site Citation Jonathan Icenhower, David London; An experimental study of element partitioning among biotite, muscovite, and coexisting peraluminous silicic melt at 200 MPa (H2O). American Mineralogist 1995;; 80 (11-12): 1229–1251. doi: https://doi.org/10.2138/am-1995-11-1213 Download citation file: Ris (Zotero) Refmanager EasyBib Bookends Mendeley Papers EndNote RefWorks BibTex toolbar search Search Dropdown Menu toolbar search search input Search input auto suggest filter your search All ContentBy SocietyAmerican Mineralogist Search Advanced Search Abstract H2O-saturated experiments with synthetic metapelite compositions (muscovite-quartz-albite and muscovite-quartz-albite-biotite ± aluminum silicate ± cordierite) performed over the temperature interval of 600–750 °C at 200 MPa (H2O) reveal that partial fusion commences at 625 °C along the metastable extension of the reaction muscovite + quartz + albite + H2O = melt + aluminum silicate. Biotite is stable over the entire temperature interval, although it reacts progressively to hercynite + melt at the high end of the temperature range. Muscovite that survives initial melting breaks down to corundum + orthoclase between 700 and 725 °C. Minor corundum and aluminum silicate are present at 650 °C, whereas corundum with a large sapphire (Fe + Ti) component is present at and above 700 °C. Finally, corundum and hercynite exist with orthoclase-rich feldspar and remaining biotite at 750 °C. The normative composition of melt at the minimum is approximately Ab30Or15Ms20QtZ35 (in weight percent) without other minor components (e.g., cryolite). Both muscovite and its equivalent orthoclase + corundum assemblage contribute substantial excess Al to melt, bringing the value of the Al saturation index (ASI) of melt to 1.4. Li, Rb, Cs, and F are strongly enriched in melts because of the continuous reaction and reequilibration of biotite and muscovite over the temperature interval. Concentrations of the femic components (TiO2 + FeO + MgO + MnO) are low (<1 wt%) but rise with temperature primarily because of increasing solubilities of FeO in melt. Calculated partition coefficients, D(M)Bt/gl, between biotite (Bt) and glass (gl) for the element M show that D(Li)Bt/gl (1.7−1.0), D(Ba)Bt/gl (~14−6), and D(F)Bt/gl (2.5–1.5) all decrease with increasing temperature, whereas partition coefficients for Sr (≈0.04), Rb (≈2.0), and Cs (≈0.4) remain constant with temperature over a large range of concentrations. Partition coefficients for muscovite (Ms) were also determined at 650 °C; D(M)Ms/gl ≈ 0.8 (Li), 3−6 (Ba), 1.6 (Rb), 0.05 (Sr), 0.3 (Cs), and 1.8 (F). These results, together with other data for feldspar, suggest that Rb, Cs, and Ba become strongly fractionated from one another during anatexis of aluminous metasediments and the ensuing crystallization of melts. Finally, the low partition coefficients for F between micas (biotite or muscovite) and melt indicate that F-rich melts can be generated by the incipient hydrous anatexis of aluminous metasediments; models that invoke remelting of a dehydrated protolith to generate such F-rich melts may not be necessary. This content is PDF only. Please click on the PDF icon to access. First Page Preview Close Modal You do not have access to this content, please speak to your institutional administrator if you feel you should have access.",https://openalex.org/W2460600588,1995,Jonathan P. Icenhower; David London,University of Oklahoma
First-Principles Molecular Dynamics Simulations of H<sub>2</sub>O on α-Al<sub>2</sub>O<sub>3</sub>(0001),"We present a more detailed account of our recently reported [Hass, K. C.; Schneider, W. F.; Curioni, A.; Andreoni, W. Science 1998, 282, 265] first-principles molecular dynamics investigation of the static and dynamical behavior of adsorbed H2O on α-Al2O3 (0001). Al-terminated surfaces with varying degrees of H2O coverage are modeled using large periodic supercells. A predicted large relaxation of the clean surface agrees well with previous density functional theory calculations. Both molecular and dissociative H2O adsorption modes are identified, with the latter favored by ∼10 kcal mol-1. Complementary Al8O12 cluster results are shown to be unreliable because of their finite lateral extent. Constrained dynamical calculations of free-energy barriers indicate that the dissociation rate is very high, even in the absence of defects, but differs by 3 orders of magnitude for two equally exothermic pathways (proton transfer being more favorable across a six-membered ring than to the nearest O site). Unconstrained simulations at intermediate H2O coverages exhibit (1) spontaneous unimolecular and (2) H2O-mediated dissociation events, as well as (3) the diffusion and hydrogen bonding of physisorbed H2O and (4) an additional proton transfer reaction between adsorbed H2O and OH species. An experimentally observed decrease in H2O binding energies with coverage is explained in terms of a separation into defect-dominated, intrinsic (0001) terrace, and ""hydrogen-bonding"" regimes, with reasonable quantitative agreement throughout. Calculated O−H vibrational frequencies are consistent with known trends on aluminas but indicate a discrepancy between experimental observations for α-Al2O3 (0001) and models based on simple hydroxylation. Simulations for high H2O coverages suggest the possibility of more complicated behavior, including the interchange of adsorbed and lattice oxygen and the etching of surface Al. A ""fully""-hydroxylated α-Al2O3 (0001) surface in which each surface Al is replaced by three protons to give uniform OH-termination, as in aluminum hydroxides, is the most likely result of prolonged exposure. Results for this surface confirm its anticipated stability, provide a reasonable explanation of observed vibrational spectra, and reveal a complex, dynamical structure with extensive intraplanar hydrogen bonding.",https://openalex.org/W2327471162,2000,K. C. Hass; William F. Schneider; A. Curioni,
"Fragmentation and Intracluster Reactions of Hydrated Aluminum Cations Al<sup>+</sup>(H<sub>2</sub>O)<i><sub>n</sub></i>, <i>n</i> = 3−50","Hydrated aluminum cluster cations Al+(H2O)n with n = 3−50 were stored in a collision-free environment, and their unimolecular fragmentation induced by the room temperature “black body” infrared background was studied. An interesting size-dependent intracluster reaction resulting in oxidation of the aluminum cation and elimination of molecular hydrogen was observed. The results are discussed and compared with similar recent studies of hydrated magnesium clusters.",https://openalex.org/W2021657648,1996,Martin K. Beyer; Christian Berg; H.W. Görlitzer,Technical University of Munich
Synthesis and Characterization of High-Quality Zeolite LTA and FAU Single Nanocrystals,"High-quality zeolite LTA and FAU single nanocrystals have been prepared in the reaction system SiO2−Al2O3−(TMA)2O−NaCl−H2O at 100 °C using tetraethyl orthosilicate (TEOS), and Al powder as the silicon and aluminum sources, respectively. The effect of various factors, such as the (TMA)2O/Al2O3, NaCl/Al2O3, and SiO2/Al2O3 ratios, on the crystal size is discussed. Powder X-ray diffraction (XRD), dynamic light scattering (DLS), and transmission electron microscopy (TEM) are used to characterize the crystallinities, crystal size distributions, and morphologies of the products.",https://openalex.org/W2119552236,1998,Guangshan Zhu; Shilun Qiu; Jihong Yu,Jilin University; Tohoku University
Mechanism of burial metamorphism of argillaceous sediment: 1. Mineralogical and chemical evidence,"Research Article| May 01, 1976 Mechanism of burial metamorphism of argillaceous sediment: 1. Mineralogical and chemical evidence JOHN HOWER; JOHN HOWER 1Department of Earth Sciences, Case Western Reserve University, Cleveland, Ohio 44106 Search for other works by this author on: GSW Google Scholar ERIC V. ESLINGER; ERIC V. ESLINGER 2Department of Geology, West Georgia College, Carrollton, Georgia 30117 Search for other works by this author on: GSW Google Scholar MARK E. HOWER; MARK E. HOWER 3Department of Mathematics, Middlebury College, Middlebury, Vermont 05753 Search for other works by this author on: GSW Google Scholar EDWARD A. PERRY EDWARD A. PERRY 4Department of Geology, University of Massachusetts, Amherst, Massachusetts 01002 Search for other works by this author on: GSW Google Scholar Author and Article Information JOHN HOWER 1Department of Earth Sciences, Case Western Reserve University, Cleveland, Ohio 44106 ERIC V. ESLINGER 2Department of Geology, West Georgia College, Carrollton, Georgia 30117 MARK E. HOWER 3Department of Mathematics, Middlebury College, Middlebury, Vermont 05753 EDWARD A. PERRY 4Department of Geology, University of Massachusetts, Amherst, Massachusetts 01002 Publisher: Geological Society of America First Online: 01 Jun 2017 Online ISSN: 1943-2674 Print ISSN: 0016-7606 Geological Society of America GSA Bulletin (1976) 87 (5): 725–737. https://doi.org/10.1130/0016-7606(1976)87<725:MOBMOA>2.0.CO;2 Article history First Online: 01 Jun 2017 Cite View This Citation Add to Citation Manager Share Icon Share Facebook Twitter LinkedIn MailTo Tools Icon Tools Get Permissions Search Site Citation JOHN HOWER, ERIC V. ESLINGER, MARK E. HOWER, EDWARD A. PERRY; Mechanism of burial metamorphism of argillaceous sediment: 1. Mineralogical and chemical evidence. GSA Bulletin 1976;; 87 (5): 725–737. doi: https://doi.org/10.1130/0016-7606(1976)87<725:MOBMOA>2.0.CO;2 Download citation file: Ris (Zotero) Refmanager EasyBib Bookends Mendeley Papers EndNote RefWorks BibTex toolbar search Search Dropdown Menu toolbar search search input Search input auto suggest filter your search All ContentBy SocietyGSA Bulletin Search Advanced Search Abstract A detailed mineralogical and chemical investigation has been made of shale cuttings from a well (Case Western Reserve University Gulf Coast 6) in Oligocene-Miocene sediment of the Gulf Coast of the United States. The <0.1-, 0.1- to 0.5-, 0.5- to 2-, 2- to 10-, and >10-µm fractions from the 1,250- to 5,500-m stratigraphic interval were analyzed by x-ray diffraction. Major mineralogic changes with depth take place over the interval 2,000 to 3,700 m, after which no significant changes are detectable. The most abundant mineral, illite/smectite, undergoes a conversion from less than 20 percent to about 80 percent illite layers over this interval, after which the proportion of illite layers remains constant. Over the same interval, calcite decreases from about 20 percent of the rock to almost zero, disappearing from progressively larger size fractions with increasing depth; potassium feldspar (but not albite) decreases to zero; and chlorite appears to increase in amount. Variations in the bulk chemical composition of the shale with depth show only minor changes, except for a marked decrease in CaO concomitant with the decrease in calcite. By contrast, the <0.1-µm fraction (virtually pure illite/smectite) shows a large increase in K2O and Al2O3 and a decrease in SiO2 The atomic proportions closely approximate the reaction smectite + Al+3 + K+ = illite + Si+4. The potassium and aluminum appear to be derived from the decomposition of potassium feldspar (and mica?), and the excess silicon probably forms quartz. We interpret all the major mineralogical and chemical changes as the response of the shale to burial metamorphism and conclude that the shale acted as a closed system for all components except H2O, CaO, Na2O, and CO2. Compositional changes in the shale as a function of metamorphic grade closely parallel compositional changes in shale as a function of geologic age. First Page Preview Close Modal You do not have access to this content, please speak to your institutional administrator if you feel you should have access.",https://openalex.org/W2052694638,1976,John Hower; Eric Eslinger; MARK E. HOWER,Case Western Reserve University; Georgia College & State University; University of West Georgia
Molecular Layer Deposition of Alucone Polymer Films Using Trimethylaluminum and Ethylene Glycol,"Polymeric films can be grown by a sequential, self-limiting surface chemistry process known as molecular layer deposition (MLD). The MLD reactants are typically bifunctional monomers for stepwise condensation polymerization and can yield completely organic films. The MLD of organic–inorganic hybrid polymers can also be accomplished using a bifunctional organic monomer and a multifunctional inorganic monomer. In this work, the growth of a poly(aluminum ethylene glycol) polymer is demonstrated using the sequential exposures of trimethylaluminum (TMA) and ethylene glycol (EG). These hybrid polymers, known as alucones, were grown over a wide range of temperatures from 85 to 175 °C. In situ quartz crystal microbalance and ex situ X-ray reflectivity experiments confirmed linear growth of the alucone film versus number of TMA/EG reaction cycles at all temperatures. The alucone growth rates decreased at higher temperatures. Growth rates varied from 4.0 Å per cycle at 85 °C to 0.4 Å per cycle at 175 °C. In situ Fourier transform infrared spectroscopy was used to monitor the surface reactions during alucone MLD. Ex situ FTIR spectroscopy, X-ray photoelectron spectroscopy, and X-ray reflectivity measurements were also employed to determine the chemical composition, thickness, and density of the alucone films. These ex situ studies revealed that the alucone films grown on Al2O3 ALD surfaces evolved under ambient conditions before reaching a stable state. Alucone films capped with rapid SiO2 ALD displayed much more stability than alucone films grown on Al2O3 ALD surfaces. These results indicated that H2O may facilitate the chemical transformation of the alucone MLD films. The alucone films represent a new class of organic–inorganic hybrid polymers. Modification of this basic alucone MLD chemistry with use of other diols or other bifunctional monomers can produce different alucone polymers with variable properties.",https://openalex.org/W2008365303,2008,Arrelaine A. Dameron; Dragos Seghete; B. B. Burton,University of Colorado Boulder
A New Mechanism for Cement Hydration Inhibition:  Solid-State Chemistry of Calcium Nitrilotris(methylene)triphosphonate,"The reaction of the cement retarder nitrilo-tris(methylene)phosphonic acid, N[CH2PO(OH)2]3 (H6ntmp) with calcium oxide, tricalcium silicate (C3S), tricalcium aluminate (C3A), and tetracalcium aluminoferrite (C4AF) has been studied individually, and in the case of C3A in the presence of gypsum, to gain an understanding of the effect on the individual minerals prior to studying a typical sample of Portland cement. The reaction of H6ntmp with calcium oxide results in the initial formation of soluble [Ca(Hnntmp)](4-n)-, which precipitates over time as [Ca(H4ntmp)(H2O)]∞, whose sheetlike structure has been confirmed by single-crystal X-ray diffraction. The study of the hydration of C3S in the presence of H6ntmp indicates that no C−S−H forms, and the surface changes from silicon-rich to calcium-rich associated with the formation of various calcium phosphonates. The hydration of C3A is severely inhibited in the presence of H6ntmp, with the phosphonic acid reacting primarily with calcium as opposed to aluminum to form a Ca−P-rich layer at the surface of C3A. The H6ntmp enhances calcium solubility, promoting the dissolution of calcium from C3A and promoting, in the presence of gypsum, the formation of ettringite. In the presence of H6ntmp the surface of hydrated Portland cement grains is rich in calcium and phosphorus and deficient in silicon and aluminum, consistent with the formation of a calcium phosphonate coating spectroscopically related to [Ca(H4ntmp)(H2O)]∞. We have proposed a new mechanism by which phosphonic acids inhibit cement hydration. Dissolution, of calcium by extraction with the phosphonic acid, exposes the aluminum-rich surface to enhance hydration, followed by precipitation of a layered calcium phosphonate that binds to the surface of the cement grains, inhibiting further hydration by acting as a diffusion barrier to water as well as a nucleation inhibitor. Samples were characterized by 31P, 27Al, and 29Si MAS NMR spectroscopy, scanning electron microscopy, X-ray diffraction, and X-ray photoelectron spectroscopy.",https://openalex.org/W2025933817,2003,Maximilienne Bishop; Simon G. Bott; Andrew R. Barron,Center for Nanoscale Science and Technology; Rice University; University of Houston
Size Dependence of Blackbody Radiation Induced Hydrogen Formation in Al<sup>+</sup>(H<sub>2</sub>O)<i><sub>n</sub></i> Hydrated Aluminum Cations and Their Reactivity with Hydrogen Chloride,"Trapped hydrated aluminum cluster ions are studied by FT-ICR mass spectrometry on a time scale of several seconds. Blackbody radiation, besides causing the fragmentation of the cluster by stepwise loss of individual water molecules, induces in hydrated aluminum clusters Al+(H2O)n an intracluster reaction yielding hydrated hydroxide and releasing molecular hydrogen. Local deviations of the individual rate constants for the water loss process from a linear size dependence are due to increased rigidity of certain sizes due to the formation of stabilizing hydrogen-bonded bridges. In comparison with previously studied hydrated ions, surface versus internal solvation is discussed. The preferential occurrence of the intracluster reaction in the size region of n = 11−24 is attributed to a concerted proton-transfer mechanism, in which a chain of at least two water molecules is needed to transfer a proton between two first solvation shell water molecules, leading to formation of an Al(OH)2+(H2O)n hydrated aluminum dihydroxide cation and molecular hydrogen. The Al+(H2O)n species with n ≥ 13 and all investigated Al(OH)2+(H2O)m species are able to react with and ""dissolve"" HCl. The maximum number of HCl molecules in the cluster strongly depends on the number of water molecules available for solvation. The presence of HCl in the cluster removes the upper limit for the intracluster reaction, which leads to the formation of molecular hydrogen, driven by blackbody radiation. This is taken as further evidence for the validity of the proton-transfer mechanism.",https://openalex.org/W2005941543,1999,Martin K. Beyer; Uwe Achatz; Christian Berg,Technical University of Munich
Investigation of ethanol oxidation over aluminum nanoparticle using ReaxFF molecular dynamics simulation,"Aluminum nanoparticles are an effective and economical additive for producing energetic fuels. In the present study, the state of the art ReaxFF molecular dynamics (MD) simulation has been used to uncover the detailed mechanisms of ethanol oxidation over aluminum nanoparticles with different oxidation states. The MD results reveal the dynamics process of ethanol oxidation reactions at nanoscales. The presence of aluminum nanoparticles is found to reduce the initial temperature of ethanol oxidation to 324 K. It is also found that compared to ethanol, oxygen molecules are more easily adsorbed on aluminum surfaces. Moreover, different oxidation states of aluminum nanoparticles influence the initial ethanol reactions on the nanoparticles' surfaces. OH-abstraction is more commonly observed on pure aluminum nanoparticles while H-abstraction prevails on aluminum nanoparticles with oxide. The separated H atom from hydroxyl forms bonds with Al and O atom on aluminum nanoparticles surrounded by thin and thick oxide layers, respectively. Adsorptive dissociation of ethanol is hindered by the oxide layer surrounding the aluminum nanoparticle. Gas products like H2O and CO resulting from ethanol oxidation on aluminum nanoparticles with the thick oxide layer are observed while almost all the C, H and O atoms in ethanol diffuse into the nanoparticles without or with the thin oxide layer. For ethanol dissociation, a higher temperature is required than adsorption. In addition, the rate of ethanol dissociation increases with rising reaction temperatures. The activation energy for ethanol adsorptive dissociation is found to be 4.58 kcal/mol on the aluminum nanoparticle with the thin oxide layer, which is consistent with results from much more expensive DFT calculations.",https://openalex.org/W2822984020,2018,Yi Ran Zhang; Adri C. T. van Duin; Kai Luo,Tsinghua University; Pennsylvania State University; University College London
