title,abstract,url,publication_year,authors,institutions
"Artificial intelligence in healthcare: past, present and future","Artificial intelligence (AI) aims to mimic human cognitive functions. It is bringing a paradigm shift to healthcare, powered by increasing availability of healthcare data and rapid progress of analytics techniques. We survey the current status of AI applications in healthcare and discuss its future. AI can be applied to various types of healthcare data (structured and unstructured). Popular AI techniques include machine learning methods for structured data, such as the classical support vector machine and neural network, and the modern deep learning, as well as natural language processing for unstructured data. Major disease areas that use AI tools include cancer, neurology and cardiology. We then review in more details the AI applications in stroke, in the three major areas of early detection and diagnosis, treatment, as well as outcome prediction and prognosis evaluation. We conclude with discussion about pioneer AI systems, such as IBM Watson, and hurdles for real-life deployment of AI.",https://openalex.org/W2664267452,2017,Fei Jiang; Yong Jiang; Hui Zhi,University of Hong Kong; Beijing Tian Tan Hospital; Capital Medical University
Legal and Ethical Consideration in Artificial Intelligence in Healthcare: Who Takes Responsibility?,"The legal and ethical issues that confront society due to Artificial Intelligence (AI) include privacy and surveillance, bias or discrimination, and potentially the philosophical challenge is the role of human judgment. Concerns about newer digital technologies becoming a new source of inaccuracy and data breaches have arisen as a result of its use. Mistakes in the procedure or protocol in the field of healthcare can have devastating consequences for the patient who is the victim of the error. Because patients come into contact with physicians at moments in their lives when they are most vulnerable, it is crucial to remember this. Currently, there are no well-defined regulations in place to address the legal and ethical issues that may arise due to the use of artificial intelligence in healthcare settings. This review attempts to address these pertinent issues highlighting the need for algorithmic transparency, privacy, and protection of all the beneficiaries involved and cybersecurity of associated vulnerabilities.",https://openalex.org/W4221106857,2022,Nithesh Naik; B. M. Zeeshan Hameed; Dasharathraj K Shetty,Manipal Academy of Higher Education; Father Muller Medical College Hospital
A Review of the Role of Artificial Intelligence in Healthcare,"Artificial intelligence (AI) applications have transformed healthcare. This study is based on a general literature review uncovering the role of AI in healthcare and focuses on the following key aspects: (i) medical imaging and diagnostics, (ii) virtual patient care, (iii) medical research and drug discovery, (iv) patient engagement and compliance, (v) rehabilitation, and (vi) other administrative applications. The impact of AI is observed in detecting clinical conditions in medical imaging and diagnostic services, controlling the outbreak of coronavirus disease 2019 (COVID-19) with early diagnosis, providing virtual patient care using AI-powered tools, managing electronic health records, augmenting patient engagement and compliance with the treatment plan, reducing the administrative workload of healthcare professionals (HCPs), discovering new drugs and vaccines, spotting medical prescription errors, extensive data storage and analysis, and technology-assisted rehabilitation. Nevertheless, this science pitch meets several technical, ethical, and social challenges, including privacy, safety, the right to decide and try, costs, information and consent, access, and efficacy, while integrating AI into healthcare. The governance of AI applications is crucial for patient safety and accountability and for raising HCPs’ belief in enhancing acceptance and boosting significant health consequences. Effective governance is a prerequisite to precisely address regulatory, ethical, and trust issues while advancing the acceptance and implementation of AI. Since COVID-19 hit the global health system, the concept of AI has created a revolution in healthcare, and such an uprising could be another step forward to meet future healthcare needs.",https://openalex.org/W4379470483,2023,Ahmed Al Kuwaiti; Khalid Nazer; Abdullah H. Alreedy,Imam Abdulrahman Bin Faisal University; King Fahd Hospital of the University
Artificial intelligence-enabled healthcare delivery,"Summary In recent years, there has been massive progress in artificial intelligence (AI) with the development of deep neural networks, natural language processing, computer vision and robotics. These techniques are now actively being applied in healthcare with many of the health service activities currently being delivered by clinicians and administrators predicted to be taken over by AI in the coming years. However, there has also been exceptional hype about the abilities of AI with a mistaken notion that AI will replace human clinicians altogether. These perspectives are inaccurate, and if a balanced perspective of the limitations and promise of AI is taken, one can gauge which parts of the health system AI can be integrated to make a meaningful impact. The four main areas where AI would have the most influence would be: patient administration, clinical decision support, patient monitoring and healthcare interventions. This health system where AI plays a central role could be termed an AI-enabled or AI-augmented health system. In this article, we discuss how this system can be developed based on a realistic assessment of current AI technologies and predicted developments.",https://openalex.org/W2902461656,2018,Sandeep Reddy; John Fox; Maulik Purohit,Deakin University; University of Oxford; The University of Texas Health Science Center at Houston
Artificial intelligence in healthcare: An essential guide for health leaders,"Artificial Intelligence (AI) is evolving rapidly in healthcare, and various AI applications have been developed to solve some of the most pressing problems that health organizations currently face. It is crucial for health leaders to understand the state of AI technologies and the ways that such technologies can be used to improve the efficiency, safety, and access of health services, achieving value-based care. This article provides a guide to understand the fundamentals of AI technologies (ie, machine learning, natural language processing, and AI voice assistants) as well as their proper use in healthcare. It also provides practical recommendations to help decision-makers develop an AI strategy that can support their digital healthcare transformation.",https://openalex.org/W2977181930,2019,Mei Chen; Michel Décary,
Fairness of artificial intelligence in healthcare: review and recommendations,"Abstract In this review, we address the issue of fairness in the clinical integration of artificial intelligence (AI) in the medical field. As the clinical adoption of deep learning algorithms, a subfield of AI, progresses, concerns have arisen regarding the impact of AI biases and discrimination on patient health. This review aims to provide a comprehensive overview of concerns associated with AI fairness; discuss strategies to mitigate AI biases; and emphasize the need for cooperation among physicians, AI researchers, AI developers, policymakers, and patients to ensure equitable AI integration. First, we define and introduce the concept of fairness in AI applications in healthcare and radiology, emphasizing the benefits and challenges of incorporating AI into clinical practice. Next, we delve into concerns regarding fairness in healthcare, addressing the various causes of biases in AI and potential concerns such as misdiagnosis, unequal access to treatment, and ethical considerations. We then outline strategies for addressing fairness, such as the importance of diverse and representative data and algorithm audits. Additionally, we discuss ethical and legal considerations such as data privacy, responsibility, accountability, transparency, and explainability in AI. Finally, we present the Fairness of Artificial Intelligence Recommendations in healthcare (FAIR) statement to offer best practices. Through these efforts, we aim to provide a foundation for discussing the responsible and equitable implementation and deployment of AI in healthcare.",https://openalex.org/W4385564466,2023,Daiju Ueda; Taichi Kakinuma; Shohei Fujita,Osaka Metropolitan University; The University of Tokyo
The promise of artificial intelligence: a review of the opportunities and challenges of artificial intelligence in healthcare,"Abstract Introduction Artificial intelligence (AI) and machine learning (ML) are rapidly evolving fields in various sectors, including healthcare. This article reviews AI’s present applications in healthcare, including its benefits, limitations and future scope. Sources of data A review of the English literature was conducted with search terms ‘AI’ or ‘ML’ or ‘deep learning’ and ‘healthcare’ or ‘medicine’ using PubMED and Google Scholar from 2000–2021. Areas of agreement AI could transform physician workflow and patient care through its applications, from assisting physicians and replacing administrative tasks to augmenting medical knowledge. Areas of controversy From challenges training ML systems to unclear accountability, AI’s implementation is difficult and incremental at best. Physicians also lack understanding of what AI implementation could represent. Growing points AI can ultimately prove beneficial in healthcare, but requires meticulous governance similar to the governance of physician conduct. Areas timely for developing research Regulatory guidelines are needed on how to safely implement and assess AI technology, alongside further research into the specific capabilities and limitations of its medical use.",https://openalex.org/W3196012986,2021,Yuri Yin‐Moe Aung; David Wong; Daniel Shu Wei Ting,Imperial College London; University of Cambridge; Duke-NUS Medical School
Artificial intelligence in healthcare and education,"Abstract Artificial intelligence (AI) is rapidly transforming the healthcare and medical and dental education sectors. With advancements in AI technology and its integration into routine tasks, the field of healthcare and education is rapidly evolving. This article aims to provide an in-depth analysis of the impact of AI in these sectors and to discuss the advantages and disadvantages of its integration. The article will begin by examining the use of AI in healthcare, including its impact on patient care, diagnosis and treatment, and the benefits it brings to medical professionals and patients alike. The article will then delve into the use of AI in medical and dental education, exploring its impact on student learning and teaching practices, and the benefits and challenges it presents for educators and students. Additionally, this article will also cover the impact of AI on the publishing of scientific articles in journals. With the increasing volume of submissions and the need for more efficient management, AI is being utilised to streamline the peer-review process and improve the quality of peer-review. The article will also delve into the possibility of AI enabling new forms of publication and supporting reproducibility, helping to improve the overall quality of scientific publications. Furthermore, the authors of this article have written it using AI, making it a landmark paper that showcases the true technological power of AI in the field of writing.",https://openalex.org/W4378470061,2023,Manàs Dave; Neil Patel,University Dental Hospital of Manchester; University of Manchester
Patient apprehensions about the use of artificial intelligence in healthcare,"Abstract While there is significant enthusiasm in the medical community about the use of artificial intelligence (AI) technologies in healthcare, few research studies have sought to assess patient perspectives on these technologies. We conducted 15 focus groups examining patient views of diverse applications of AI in healthcare. Our results indicate that patients have multiple concerns, including concerns related to the safety of AI, threats to patient choice, potential increases in healthcare costs, data-source bias, and data security. We also found that patient acceptance of AI is contingent on mitigating these possible harms. Our results highlight an array of patient concerns that may limit enthusiasm for applications of AI in healthcare. Proactively addressing these concerns is critical for the flourishing of ethical innovation and ensuring the long-term success of AI applications in healthcare.",https://openalex.org/W3200896515,2021,Jordan Richardson; Cambray Smith; Susan Curtis,Mayo Clinic in Florida
Revolutionizing healthcare: the role of artificial intelligence in clinical practice,"Abstract Introduction Healthcare systems are complex and challenging for all stakeholders, but artificial intelligence (AI) has transformed various fields, including healthcare, with the potential to improve patient care and quality of life. Rapid AI advancements can revolutionize healthcare by integrating it into clinical practice. Reporting AI’s role in clinical practice is crucial for successful implementation by equipping healthcare providers with essential knowledge and tools. Research Significance This review article provides a comprehensive and up-to-date overview of the current state of AI in clinical practice, including its potential applications in disease diagnosis, treatment recommendations, and patient engagement. It also discusses the associated challenges, covering ethical and legal considerations and the need for human expertise. By doing so, it enhances understanding of AI’s significance in healthcare and supports healthcare organizations in effectively adopting AI technologies. Materials and Methods The current investigation analyzed the use of AI in the healthcare system with a comprehensive review of relevant indexed literature, such as PubMed/Medline, Scopus, and EMBASE, with no time constraints but limited to articles published in English. The focused question explores the impact of applying AI in healthcare settings and the potential outcomes of this application. Results Integrating AI into healthcare holds excellent potential for improving disease diagnosis, treatment selection, and clinical laboratory testing. AI tools can leverage large datasets and identify patterns to surpass human performance in several healthcare aspects. AI offers increased accuracy, reduced costs, and time savings while minimizing human errors. It can revolutionize personalized medicine, optimize medication dosages, enhance population health management, establish guidelines, provide virtual health assistants, support mental health care, improve patient education, and influence patient-physician trust. Conclusion AI can be used to diagnose diseases, develop personalized treatment plans, and assist clinicians with decision-making. Rather than simply automating tasks, AI is about developing technologies that can enhance patient care across healthcare settings. However, challenges related to data privacy, bias, and the need for human expertise must be addressed for the responsible and effective implementation of AI in healthcare.",https://openalex.org/W4386958277,2023,Shuroug A. Alowais; Sahar S. Alghamdi; Nada Alsuhebany,King Abdulaziz Medical City; King Abdullah International Medical Research Center; King Saud bin Abdulaziz University for Health Sciences
