title,abstract,url,publication_year,authors,institutions
Ontology Summarization: Graph-Based Methods and Beyond,"Ontologies have been widely used in numerous and varied applications, e.g. to support data modeling, information integration, and knowledge management. With the increasing size of ontologies, ontology understanding, which is playing an important role in different tasks, is becoming more difficult. Consequently, ontology summarization, as a way to distill key information from an ontology and generate an abridged version to facilitate a better understanding, is getting growing attention. In this survey paper we review existing ontology summarization techniques and focus mainly on graph-based methods, which represent an ontology as a graph and apply centrality-based and other measures to identify the most important elements of an ontology as its summary. After analyzing their strengths and weaknesses, we highlight a few potential directions for future research.",https://openalex.org/W2954203317,2019,Seyedamin Pouriyeh; Mehdi Allahyari; Qingxia Liu,Kennesaw State University; Georgia Southern University; Nanjing University
Ontology summarization based on rdf sentence graph,"Ontology summarization is very important to quick understanding and selection of ontologies. In this paper, we study extractive summarization of ontology. We propose a notion of RDF sentence as the basic unit of summarization. An RDF Sentence Graph is proposed to characterize the links between RDF sentences derived from a given ontology. The salience of each RDF sentence is assessed in terms of its ""centrality"" in the graph. We propose to summarize an ontology by extracting a set of salient RDF sentences according to a re-ranking strategy. We compare several measurements in assessing the salience of RDF sentences and give an overall evaluation of experiment results, which shows that our approach to ontology summarization is feasible.",https://openalex.org/W2105920890,2007,Xiang Zhang; Gong Cheng; Yuzhong Qu,
Developing an Ontology for Cyber Security Knowledge Graphs,"In this paper we describe an ontology developed for a cyber security knowledge graph database. This is intended to provide an organized schema that incorporates information from a large variety of structured and unstructured data sources, and includes all relevant concepts within the domain. We compare the resulting ontology with previous efforts, discuss its strengths and limitations, and describe areas for future work.",https://openalex.org/W1983551905,2015,Michael D. Iannacone; Shawn Bohn; Grant Nakamura,Oak Ridge National Laboratory; Pacific Northwest National Laboratory
GMO: A Graph Matching for Ontologies.,"Ontology matching is an important task to achieve inter-operation between semantic web applications using dif-ferent ontologies. Structural similarity plays a central role in ontology matching. However, the existing ap-proaches rely heavily on lexical similarity, and they mix up lexical similarity with structural similarity. In this paper, we present a graph matching approach for on-tologies, called GMO. It uses bipartite graphs to repre-sent ontologies, and measures the structural similarity between graphs by a new measurement. Furthermore, GMO can take a set of matched pairs, which are typi-cally previously found by other approaches, as external input in matching process. Our implementation and experimental results are given to demonstrate the effec-tiveness of the graph matching approach.",https://openalex.org/W103919619,2005,Wei Hu; Ningsheng Jian; Yuzhong Qu,
"PageMan: An interactive ontology tool to generate, display, and annotate overview graphs for profiling experiments","PageMan allows multiple microarray experiments to be efficiently condensed into a single page graphical display. The flexible interface allows data to be quickly and easily visualized, facilitating comparisons within experiments and to published experiments, thus enabling researchers to gain a rapid overview of the biological responses in the experiments.",https://openalex.org/W2151066815,2006,Björn Usadel; Axel Nagel; Dirk Steinhauser,Max Planck Institute of Molecular Plant Physiology
"Blast2GO: a universal tool for annotation, visualization and analysis in functional genomics research","Abstract Summary: We present here Blast2GO (B2G), a research tool designed with the main purpose of enabling Gene Ontology (GO) based data mining on sequence data for which no GO annotation is yet available. B2G joints in one application GO annotation based on similarity searches with statistical analysis and highlighted visualization on directed acyclic graphs. This tool offers a suitable platform for functional genomics research in non-model species. B2G is an intuitive and interactive desktop application that allows monitoring and comprehension of the whole annotation and analysis process. Availability: Blast2GO is freely available via Java Web Start at http://www.blast2go.de Supplementary material: http://www.blast2go.de -&amp;gt; Evaluation Contact: aconesa@ivia.es; stefang@fis.upv.es",https://openalex.org/W2164154943,2005,Sebastian Rokitta; Peter von Dassow; B. Rost,Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung; Pontificia Universidad Católica de Chile; Biologie évolutive et écologie des algues
Ontology- and graph-based similarity assessment in biological networks,"Abstract Summary: A standard systems-based approach to biomarker and drug target discovery consists of placing putative biomarkers in the context of a network of biological interactions, followed by different ‘guilt-by-association’ analyses. The latter is typically done based on network structural features. Here, an alternative analysis approach in which the networks are analyzed on a ‘semantic similarity’ space is reported. Such information is extracted from ontology-based functional annotations. We present SimTrek, a Cytoscape plugin for ontology-based similarity assessment in biological networks. Availability: http://rosalind.infj.ulst.ac.uk/SimTrek.html Contact: francisco.azuaje@crp-sante.lu Supplementary information: Supplementary data are available at Bioinformatics online.",https://openalex.org/W2141432425,2010,Haiying Wang; Huiru Zheng; Francisco Azuaje,University of Ulster
Integration Strategy and Tool between Formal Ontology and Graph Database Technology,"Ontologies, and especially formal ones, have traditionally been investigated as a means to formalize an application domain so as to carry out automated reasoning on it. The union of the terminological part of an ontology and the corresponding assertional part is known as a Knowledge Graph. On the other hand, database technology has often focused on the optimal organization of data so as to boost efficiency in their storage, management and retrieval. Graph databases are a recent technology specifically focusing on element-driven data browsing rather than on batch processing. While the complementarity and connections between these technologies are patent and intuitive, little exists to bring them to full integration and cooperation. This paper aims at bridging this gap, by proposing an intermediate format that can be easily mapped onto the formal ontology on one hand, so as to allow complex reasoning, and onto the graph database on the other, so as to benefit from efficient data handling.",https://openalex.org/W3208989277,2021,Stefano Ferilli,University of Bari Aldo Moro
REVIGO Summarizes and Visualizes Long Lists of Gene Ontology Terms,"Outcomes of high-throughput biological experiments are typically interpreted by statistical testing for enriched gene functional categories defined by the Gene Ontology (GO). The resulting lists of GO terms may be large and highly redundant, and thus difficult to interpret.REVIGO is a Web server that summarizes long, unintelligible lists of GO terms by finding a representative subset of the terms using a simple clustering algorithm that relies on semantic similarity measures. Furthermore, REVIGO visualizes this non-redundant GO term set in multiple ways to assist in interpretation: multidimensional scaling and graph-based visualizations accurately render the subdivisions and the semantic relationships in the data, while treemaps and tag clouds are also offered as alternative views. REVIGO is freely available at http://revigo.irb.hr/.",https://openalex.org/W1969353942,2011,Fran Supek; Matko Bošnjak; Nives Škunca,Centre for Genomic Regulation; Rudjer Boskovic Institute
The prediction of candidate genes for cervix related cancer through gene ontology and graph theoretical approach,"With rapidly changing technology, the prediction of candidate genes has become an indispensable task in recent years mainly in the field of biological research.",https://openalex.org/W2051118742,2014,V. Hindumathi; T. Kranthi; S. B. Rao,"CR Rao Advanced Institute of Mathematics, Statistics and Computer Science; University of Hyderabad"
