title,abstract,url,publication_year,authors,institutions
Technology convergence capability and firm innovation in the manufacturing sector: an approach based on patent network analysis,"As a consequence of the convergence between manufacturing technology and the foundation technologies of Industry 4.0, it is becoming more important for firms to formulate an innovation strategy for their technological capabilities. In this context, the present study measures firm‐level technology convergence (TC) capability using patent network analysis. A firm’s TC capabilities are measured using three centrality indices pertaining to a patent network, which is constructed based on the relationship between patents and their international patent classification. For the empirical analysis, panel regression is conducted to observe the effect of TC capabilities on innovation for the top 30 firms in four manufacturing industries. We find that the TC degree positively influences the firms’ overall innovation, namely their total number of patents, and negatively influences their convergent innovation, calculated as the ratio between the number of TC patents and the total number of patents, while the effect of TC betweenness is the opposite. These findings imply that while concentrating on similar technologies may promote quick technology application, it could hamper the enhancement of a TC’s potential. To promote TC, a firm should thus develop technologies more likely to be involved in TC.",https://openalex.org/W2901355640,2018,Keungoui Kim; Sungdo Jung; Junseok Hwang,Seoul National University; Korea Engineering Consultants Corporation
Hybrid-patent classification based on patent-network analysis,"Effective patent management is essential for organizations to maintain their competitive advantage. The classification of patents is a critical part of patent management and industrial analysis. This study proposes a hybrid-patent-classification approach that combines a novel patent-network-based classification method with three conventional classification methods to analyze query patents and predict their classes. The novel patent network contains various types of nodes that represent different features extracted from patent documents. The nodes are connected based on the relationship metrics derived from the patent metadata. The proposed classification method predicts a query patent's class by analyzing all reachable nodes in the patent network and calculating their relevance to the query patent. It then classifies the query patent with a modified k-nearest neighbor classifier. To further improve the approach, we combine it with content-based, citation-based, and metadata-based classification methods to develop a hybrid-classification approach. We evaluate the performance of the hybrid approach on a test dataset of patent documents obtained from the U.S. Patent and Trademark Office, and compare its performance with that of the three conventional methods. The results demonstrate that the proposed patent-network-based approach yields more accurate class predictions than the patent network-based approach.",https://openalex.org/W2078368867,2010,Duen‐Ren Liu; Meng-Jung Shih,National Yang Ming Chiao Tung University
Patent Network Analysis and Quadratic Assignment Procedures to Identify the Convergence of Robot Technologies,"Because of the remarkable developments in robotics in recent years, technological convergence has been active in this area. We focused on finding patterns of convergence within robot technology using network analysis of patents in both the USPTO and KIPO. To identify the variables that affect convergence, we used quadratic assignment procedures (QAP). From our analysis, we observed the patent network ecology related to convergence and found technologies that have great potential to converge with other robotics technologies. The results of our study are expected to contribute to setting up convergence based R&amp;D policies for robotics, which can lead new innovation.",https://openalex.org/W2529703283,2016,Woojin Lee; Won Kyung Lee; So Young Sohn,Yonsei University
Exploring landscapes of quantum technology with Patent Network Analysis,"While the new chapter of quantum technologies is bringing transformative changes to our society, a quantum ecosystem, which synergises the supportive activities from both social and scientific & technological sides, is acknowledged as a critical force to push the movements. Despite the importance of a quantum ecosystem, current articles barely illustrated its interconnected relations, essential elements and the long-term attributes of developing technologies. We apply the innovation ecosystem and social-technical system theories to bridge such research gaps by realising the patent network analysis. The analytical contents include focal actors, main technological clusters and technological trajectory, and most of them correspond to relevant reports. Particularly, quantum computation is an eye-catching subfield due to its high and intensive knowledge engagements in the past years. Last, we conclude the analytical results and provide two discussions in the discussion & conclusion section as the main contributions. One is to illustrate the long-term attributes and backgrounds of the analytical contents through the lens of the multi-level perspective framework. The other illustrates a path toward a focal actor.",https://openalex.org/W3165404661,2021,Syuan-Yi Jiang; Shin-Liang Chen,Technische Universität Berlin; Freie Universität Berlin; National Cheng Kung University
Multiple patent network analysis for identifying safety technology convergence,"Purpose Using the large database of patent, the purpose of this paper is to structure a technology convergence network using various patent network analysis for integrating different results according to network characteristics. Design/methodology/approach The patent co-class analysis and the patent citation analysis are applied to discover core safety fields and technology, respectively. In specific, three types of network analysis, which are centrality analysis, association rule mining analysis and brokerage network analysis, are applied to measure the individual, synergy and group intensity. Findings The core safety fields derived from three types of network analysis used by different nature of data algorithms are compared with each other to understand distinctive meaning of cores of patent class such as medical safety, working safety and vehicle safety, differentiating network structure. Also, to be specific, the authors find the detailed technology contained in the core patent class using patent citation network analysis. Practical implications The results provide meaningful implications to various stakeholders in organization: safety management, safety engineering and safety policy. The multiple patent network enables safety manager to identify core safety convergence fields and safety engineers to develop new safety technology. Also, in the view of technology convergence, the strategy of safety policy can be expanded to collaboration and open innovation. Originality/value This is the initial study on applying various network analysis algorithms based on patent data (class and citation) for safety management. Through comparison among network analysis techniques, the different results are identified and the collective decision making on finding core of safety technology convergence is supported. The decision maker can obtain the various perspectives of tracing technology convergence.",https://openalex.org/W2950244483,2019,Jeonghwan Jeon; Yongyoon Suh,Gyeongsang National University; Pukyong National University
Patent Classification Using Ontology-Based Patent Network Analysis,"Patent management is increasingly important for organizations to sustain their competitive advantage. The classification of patents is essential for patent management and industrial analysis. In this study, we propose a novel patent network-based classification method to analyze query patents and predict their classes. The proposed patent network, which contains various types of nodes that represent different features extracted from patent documents, is constructed based on the relationship metrics derived from patent metadata. The novel approach analyzes reachable nodes in the patent ontology network to calculate their relevance to query patents, after which it uses the modified k-nearest neighbor classifier to classify query patents. We evaluate the performance of the proposed approach on a test dataset of patent documents obtained from the United States Patent and Trademark Office (USPTO), and compare it with the performance of the three conventional methods. The results demonstrate that the proposed patent network-based approach outperforms the conventional approaches.",https://openalex.org/W93327894,2010,Meng Jung Shih; Duen‐Ren Liu,National Yang Ming Chiao Tung University
Constructing an Intelligent Patent Network Analysis Method,"Patent network analysis, an advanced method of patent analysis, is a useful tool for technology management. This method visually displays all the relationships among the patents and enables the analysts to intuitively comprehend the overview of a set of patents in the field of the technology being studied. Although patent network analysis possesses relative advantages different from traditional methods of patent analysis, it is subject to several crucial limitations. To overcome the drawbacks of the current method, this study proposes a novel patent analysis method, called the intelligent patent network analysis method, to make a visual network with great precision. Based on artificial intelligence techniques, the proposed method provides an automated procedure for searching patent documents, extracting patent keywords, and determining the weight of each patent keyword in order to generate a sophisticated visualization of the patent network. This study proposes a detailed procedure for generating an intelligent patent network that is helpful for improving the efficiency and quality of patent analysis. Furthermore, patents in the field of Carbon Nanotube Backlight Unit (CNT-BLU) were analyzed to verify the utility of the proposed method.",https://openalex.org/W2029646946,2012,Chao-Chan Wu; Ching-Bang Yao,Feng Chia University; Chinese Culture University; National Taiwan University of Science and Technology
Patent network analysis in agriculture: a case study of the development and protection of biotechnologies,"Plant biotechnology has consolidated itself as a radical agricultural innovation, boosting the patenting activities of universities, biotechnology firms, and seed &amp; agrochemicals corporations. We use patent citations networks to study the appropriability efforts that affected the emergence and dynamics of the technological trajectories (TTs) of the genetically modified organisms. Our methodological contribution consists of combining new procedures to identify TTs with the study of the characteristics of scale-free networks. This paper also proposes legal enforcement indicators that attempt to assess the economic importance of patents that make up citation networks. We identify two TTs that include patents on biotech traits and enabling technologies. These patents were both effective in collecting royalties from farmers and deterring potential entrants, particularly through intellectual property (IP) litigation. The results also show that these litigated patents have impacted merger and acquisition activity in seed industry. We conclude that IP lawsuits may have contributed to delaying the R&amp;D investments of new entrants, thus preserving the monopolistic position enjoyed by the pioneering company and restricting the scope of crop innovations.",https://openalex.org/W2985283847,2019,Vinícius Eduardo Ferrari; José Maria Ferreira Jardim da Silveira; Maria Ester Soares Dal Poz,Pontifícia Universidade Católica de Campinas; Pontifícia Universidade Católica de São Paulo; Universidade Estadual de Campinas (UNICAMP)
PATENT NETWORK ANALYSIS OF CLOUD COMPUTING BY TEXT MINING,"With the rise of cloud computing technology, many IT manufacturers have rushed to enter the market. However, to date, only a few attempts have been made at the patent analysis of cloud computing. The main contribution of this research is to propose a two-stage retrieval strategy and a systematic method for conducting patent network analysis on cloud computing. By conducting bibliometric and network analyses, we show that a two-stage patent retrieval method can successfully identify patents belonging to cloud computing. The effectiveness of the proposed systematic method for patent network analysis is proved through gray relational-based cluster analysis. With the aid of visual networks and technology centrality indexes, this study seeks to reveal the overall patent structure and identify the key technologies of cloud computing. The results of this study can provide a valuable reference for enterprises intending to enter the cloud computing industry.",https://openalex.org/W2522353537,2016,Jia‐Yen Huang,
The spatiotemporal evolution of global innovation networks and the changing position of China: a social network analysis based on cooperative patents,"This study uses global patent cooperation data from 1999 to 2020, employs social network analysis, and explores the changes in and driving forces of global innovation networks (GINs) in the past 20 years as well as the change in China's position in the global innovation system. The results show that on the whole, the network accessibility of GINs has continuously improved, showing scale‐free network characteristics. The important nodes in the network are mainly developed countries such as Europe and the United States, and the node polarization effect has weakened; the network has four agglomeration subgroups. The phenomenon of subgroups and factions is not obvious. Further factor identification shows that economic factors and technological information factors have the strongest correlation with the innovation network and that demographic factors have a weaker correlation with the innovation network. In addition, China's position in the innovation network has been increasing year by year, and the role of ‘transit stations’ has become increasingly prominent.",https://openalex.org/W4388991080,2023,Feng Hu; Liping Qiu; Shaobin Wei,North Minzu University; Zhejiang Gongshang University; Ningbo University
