title,abstract,url,publication_year,authors,institutions
The ChEMBL database in 2017,"ChEMBL is an open large-scale bioactivity database (https://www.ebi.ac.uk/chembl), previously described in the 2012 and 2014 Nucleic Acids Research Database Issues. Since then, alongside the continued extraction of data from the medicinal chemistry literature, new sources of bioactivity data have also been added to the database. These include: deposited data sets from neglected disease screening; crop protection data; drug metabolism and disposition data and bioactivity data from patents. A number of improvements and new features have also been incorporated. These include the annotation of assays and targets using ontologies, the inclusion of targets and indications for clinical candidates, addition of metabolic pathways for drugs and calculation of structural alerts. The ChEMBL data can be accessed via a web-interface, RDF distribution, data downloads and RESTful web-services.",https://openalex.org/W2558999090,2016,Anna Gaulton; Anne Hersey; Michał Nowotka,European Bioinformatics Institute
Ontology-based neural network for patent knowledge management in design collaboration,"In order to stimulate innovation during the collaborative process of new product and production development, especially to avoid duplicating existing techniques or infringing upon others' patents and intellectual property rights, the collaborative team of research and development, and patent engineers must accurately identify relevant patent knowledge in a timely manner. This research develops a novel knowledge management approach using ontology-based artificial neural network (ANN) algorithm to automatically classify and search knowledge documents stored in huge online patent corpuses. This research focuses on developing a smart and semantic oriented classification and search from the sources of the most critical and well-structured knowledge publications, i.e. patents, to gain valuable and practical references for the collaborative networks of technology-centric product and production development teams. The research uses the domain ontology schema created using Protégé and derives the semantic concept probabilities of key phrases that frequently occur in domain relevant patent documents. Then, by combining the term frequencies and the concept probabilities of key phrases as the ANN inputs, the method shows significant improvement in classification accuracy. In addition, this research provides an advanced semantic-oriented search algorithm to accurately identify related patent documents in the patent knowledge base. The case demonstration analyses 343 chemical mechanical polishing and 150 radio-frequency identification patents sample sets to verify and measure the performance of the proposed approach. The results are compared with the previous automatic classification methods demonstrating much improved outcomes.",https://openalex.org/W2146235381,2012,Amy J.C. Trappey; Charles V. Trappey; Tzu-An Chiang,National Tsing Hua University; National Yang Ming Chiao Tung University; National Taipei University of Business
Design and Implementation of Derwent Patent Ontology,"The evolution of information technology, especially Semantic Web, has stimulated information requirements and the progress of processing methods. In order to improve the efficiency of information processing in the field of patent research, this article designed a Derwent patent ontology based on the content of documents and the semantic relationship within them. We implement the patent ontology in OWL form, and discussed the ways of organize the instances in different concepts/classes, which contributed to store the Derwent patent information in logic medium. The research built patent family citation network and try to find the core based on ontology and knowledge inference.",https://openalex.org/W2369621701,2013,Zhai Dong-shen,Beijing University of Technology
A Modular Framework for Ontology-based Representation of Patent Information,"Abstract. In this paper, we present a new ontology-based formalism for representing patent information. The framework defines concepts and relations for the major aspects of patent information pertaining to patent metadata, patent content structure, patent semantics, and patent classification. Each aspect is logically covered by an individual ontology module. The paper further discusses aspects of ontology learning and integration of non-textual information for the patent domain.",https://openalex.org/W2164689972,2007,Mark Giereth; Steffen Koch; Ioannis Kompatsiaris,University of Stuttgart; Information Technologies Institute
Patent Classification Using Ontology-Based Patent Network Analysis,"Patent management is increasingly important for organizations to sustain their competitive advantage. The classification of patents is essential for patent management and industrial analysis. In this study, we propose a novel patent network-based classification method to analyze query patents and predict their classes. The proposed patent network, which contains various types of nodes that represent different features extracted from patent documents, is constructed based on the relationship metrics derived from patent metadata. The novel approach analyzes reachable nodes in the patent ontology network to calculate their relevance to query patents, after which it uses the modified k-nearest neighbor classifier to classify query patents. We evaluate the performance of the proposed approach on a test dataset of patent documents obtained from the United States Patent and Trademark Office (USPTO), and compare it with the performance of the three conventional methods. The results demonstrate that the proposed patent network-based approach outperforms the conventional approaches.",https://openalex.org/W93327894,2010,Meng Jung Shih; Duen‐Ren Liu,National Yang Ming Chiao Tung University
Supporting Patent Mining by using Ontology-based Semantic Annotations,"Semantic web approach seems interesting for supporting content mining of millions of patents accessible through the Web. In this paper, we describe our approach for generating semantic annotations on patents, by relying on the structure and on a semantic representation of patent documents. We use both the structure of the patent documents and their textual contents processed by Natural Language Processing (NLP) tools. This method, primarily aimed at helping biologists use patent information can be generalized to all kinds of domains or of structured documents.",https://openalex.org/W2102717894,2007,Nizar Ghoula; Khaled Khelif; Rose Dieng-Kuntz,Institut national de recherche en sciences et technologies du numérique
Developing an ontology for the U.S. patent system,"The past few years have experienced an explosive growth in scientific and regulatory documents related to the patent system. Relevant information is siloed into many heterogeneous information domains making it a challenging task to gather information. In this paper, we develop an ontology to standardize the representation of the patent system in order to overcome the heterogeneity and integrate information from the patent document, court case and file wrapper domains. Through a use case in the bio domain erythropoietin, we demonstrate how this ontology can be used as a tool to improve the learning curve of users gathering information across these multiple information domains. The proposed ontology provides the required semantics to develop automated tools for a variety of purposes including Information Retrieval (IR) and analytics.",https://openalex.org/W2024576284,2011,Siddharth Taduri; Gloria T. Lau; Kincho H. Law,Stanford University
Construction of a cooking ontology from cooking recipes and patents,"A cooking ontology is an indispensable language resource for the language processing of cooking recipes. We have constructed a cooking ontology by means of pattern matching, statistical natural language processing techniques, and manual steps to identify hyponymy, synonymy, attributes, and meronymy.",https://openalex.org/W2143797800,2014,Hidetsugu Nanba; Doi Yoko; Miho Tsujita,Hiroshima City University
How did the gene become a chemical compound? The ontology of the gene and the patenting of DNA,"The ability to patent is bounded by a set of conditions that define what is patentable and what is not. In the 1980s, the problem of the patentability of genes was solved by the use of an analogy between genes and chemical compounds. In this article we analyze the process of the reduction of the gene to a chemical compound, and show how this analogy made the practice of gene patenting routine long before it came to public attention. When we did eventually see public controversies surrounding gene patenting in the 1990s, the chemical analogy allowed patent offices in the US and Europe to ‘close down’ these debates by presenting the issues as merely technical.",https://openalex.org/W2038460857,2011,Jane Calvert; Pierre‐Benoît Joly,Edinburgh College; University of Edinburgh; Paris-Est Sup
Intelligent Extraction of a Knowledge Ontology From Global Patents,"The growth of global patents increased over the last decade as enterprises and inventors sought greater protection of their intellectual property (IP) rights. Global patents represent state-of-the-art knowledge for given domains. This research develops a hierarchical Latent Dirichlet Allocation (LDA)-based approach as a computational intelligent method to discover topics and form a top-down ontology, a semantic schema, representing the collective patent knowledge. To validate the knowledge extraction, 1,546 smart retailing patents collected from the Derwent Innovation platform from 2011 and 2016 are used to build the domain ontology schema. The patent set focuses on in-use, globally established, and non-disputed IP covering payment, user experience, and information integration for smart retailing. The clustering and LDA-based ontology system automatically build the knowledge map, which identifies the technology trends and the technology gaps enabling the development of competitive R&amp;D and management strategies.",https://openalex.org/W3092273740,2020,Amy J.C. Trappey; Charles V. Trappey; Ai‐Che Chang,National Tsing Hua University; National Yang Ming Chiao Tung University; Shih Hsin University
Tracing the Evolution of Biomedical 3D Printing Technology Using Ontology-Based Patent Concept Analysis,"Three-dimensional (3D) printing enables products to be custom-designed and produced using additive manufacturing processes. This research develops a patent analysis approach to explore biomedical 3D printing technology trends. First, the method searches for related patents. Second, frequently appearing key terms in patents are extracted as a means to identify key concepts of inventions. Third, in order to structure the domain knowledge, the ontology is created by referring to the relevant key terms and literature. The key terms create indexes used to measure similarities for clustering the patents and sub-technologies. Based on the patent context and dynamic patent concept analysis maps, the evolutionary trends of technology development are depicted. Biomedical 3D printing R&D projects are used as case examples to compare against co-occurring patent evolutions. The proposed patent concept analysis is generalisable for critical decision support of R&D planning and evaluation in any market sector.",https://openalex.org/W2499485200,2016,Amy J.C. Trappey; Charles V. Trappey; Kurt L. C. Lee,National Tsing Hua University; University of the South Pacific
