title,abstract,url,publication_year,authors,institutions
"Artificial intelligence, robotics, advanced technologies and human resource management: a systematic review","Although academic production in intelligent automation (e.g. artificial intelligence, robotics) has grown rapidly, we still lack a comprehensive understanding of the impacts of the utilization of these technologies in human resource management (HRM) at an organizational (firms) and individual (employees) level. This study therefore aims to systematize the academic inputs on intelligent automation so far and to clarify what are its main contributions to and challenges for HRM. In a systematic search of 13,136 potentially relevant studies published in the top HRM, international business (IB), general management (GM) and information management (IM) journals, we found 45 articles studying artificial intelligence, robotics and other advanced technologies within HRM settings. Results show that intelligent automation technologies constitute a new approach to managing employees and enhancing firm performance, thus offering several opportunities for HRM but also considerable challenges at a technological and ethical level. The impact of these technologies has been identified to concentrate on HRM strategies, namely, job replacement, human-robot/AI collaboration, decision-making and learning opportunities, and HRM activities, namely, recruiting, training and job performance. This study discusses these shifts in detail, along with the main contributions to theory and practice and directions for future research.",https://openalex.org/W3130894836,2021,Demetris Vrontis; Michael Christofi; Vijay Pereira,University of Nicosia; NEOMA Business School
Development and evaluation of a low-cost and smart technology for precision weed management utilizing artificial intelligence,"Most conventional sprayers apply agrochemicals uniformly, despite the fact that distribution of weeds is typically patchy, resulting in wastage of valuable compounds, increased costs, crop damage risk, pest resistance to chemicals, environmental pollution and contamination of products. To reduce these negative impacts, a smart sprayer was designed and developed utilizing machine vision and artificial intelligence to distinguish target weeds from non-target objects (e.g. vegetable crops) and precisely spray on the desired target/location. Two different experimental scenarios were designed to simulate a vegetable field and to evaluate the smart sprayer’s performance. The first scenario contained artificial weeds (targets) and artificial plants (non-targets). The second and most challenging scenario contained real plants; portulaca weeds as targets, and sedge weeds and pepper plants as non-targets. Two different embedded graphics processing unit (GPU) were evaluated as the smart sprayer processing unit (for image processing and target detection). The more powerful GPU (NVIDIA GTX 1070 Ti) achieved an overall precision of 71% and recall of 78% (for plant detection and target spraying accuracy) on the most challenging scenario with real plants, and 91% accuracy and recall for the first scenario with artificial plants. The less powerful GPU (NVIDIA Jetson TX2) achieved an overall precision and recall of 90% and 89% respectively on the first scenario with artificial plants, and 59% and 44% respectively on the second scenario with real plants. Finally, an RTK GPS was connected to the smart sprayer and an algorithm was developed to automatically generate weed maps and visualize the collected data (after every application). This smart technology integrates a state of the art (AI-based) weed detection system, a novel fast and precision spraying system, and a weed mapping system. It can significantly reduce the quantity of agrochemicals required, especially compared with traditional broadcast sprayers that usually treat the entire field, resulting in unnecessary application to areas that do not require treatment. It could also reduce costs, risk of crop damage and excess herbicide residue, as well as potentially reduce environmental impact.",https://openalex.org/W2908783980,2019,Victor Partel; Sri Charan Kakarla; Yiannis Ampatzidis,Southwest Florida Research; University of Florida
How will artificial intelligence and Industry 4.0 emerging technologies transform operations management?,"Emerging technologies such as artificial intelligence, blockchain, additive manufacturing, advanced robotics, autonomous vehicles, and the Internet of Things are frequently mentioned as part of “Industry 4.0.” As such, how will they influence operations and supply chain management? We answer this question by providing a brief review of the evolution of technologies and operations management (OM) over time. Because terms such as “Industry 4.0” do not have a precise definition, we focus on more fundamental issues raised by Industry 4.0 emerging technologies for research in OM. We propose a theory of disruptive debottlenecking and the SACE framework by classifying emerging technologies in terms of the functionalities they enable: sense, analyze, collaborate, and execute. Subsequently, we review the nascent but rapidly growing literature at the interface between digital technologies and OM. Our review suggests that one way to assess the value of Industry 4.0 technologies can be via their influence on adding revenues, differentiating, reducing costs, optimizing risks, innovating, and transforming business models and processes. Finally, we conclude by proposing an agenda for further research.",https://openalex.org/W4295007572,2022,Sunil Mithas; Zhi‐Long Chen; Terence Saldanha,"University of South Florida; University of Maryland, College Park; University of Georgia"
Third generation management of technology intelligence processes,"How have the technology intelligence approaches of large technology‐intensive companies changed in the last 30 years? This paper aims to answer this question through case study research in 26 leading European and North American companies in the pharmaceutical, telecommunication equipment and automobile/machinery industries. The empirical results show that technology intelligence approaches have closely followed the changes in R&amp;D organization, project selection and technology planning. Three generations of technology intelligence management can be distinguished. Furthermore, the contingency factors for the location of technology intelligence within technology intensive companies are identified.",https://openalex.org/W2056860686,2003,Eckhard Lichtenthaler,
"Business Intelligence: Practices, Technologies, and Management",Preface. Acknowledgments. About the Authors. Part I Introduction to Business Intelligence. Chapter 1 Business Intelligence and Its Impacts. Chapter 2 Business Intelligence Capabilities. Part II Technologies Enabling Business Intelligence. Chapter 3 Technologies Enabling Organizational Memory. Chapter 4 Technologies Enabling Information Integration. Chapter 5 Technologies Enabling Insights and Decisions. Chapter 6 Technologies Enabling Presentation. Part III Management and Future of BusinessIntelligence. Chapter 7 Business Intelligence Tools and Vendors. Chapter 8 Development of Business Intelligence. Chapter 9 Management of Business Intelligence. Chapter 10 The Future of Business Intelligence.,https://openalex.org/W604028804,2013,Irma Becerra‐Fernandez; Rajiv Sabherwal,
Artificial intelligence and IoT driven technologies for environmental pollution monitoring and management,"Detecting hazardous substances in the environment is crucial for protecting human wellbeing and ecosystems. As technology continues to advance, artificial intelligence (AI) has emerged as a promising tool for creating sensors that can effectively detect and analyze these hazardous substances. The increasing advancements in information technology have led to a growing interest in utilizing this technology for environmental pollution detection. AI-driven sensor systems, AI and Internet of Things (IoT) can be efficiently used for environmental monitoring, such as those for detecting air pollutants, water contaminants, and soil toxins. With the increasing concerns about the detrimental impact of legacy and emerging hazardous substances on ecosystems and human health, it is necessary to develop advanced monitoring systems that can efficiently detect, analyze, and respond to potential risks. Therefore, this review aims to explore recent advancements in using AI, sensors and IOTs for environmental pollution monitoring, taking into account the complexities of predicting and tracking pollution changes due to the dynamic nature of the environment. Integrating machine learning (ML) methods has the potential to revolutionize environmental science, but it also poses challenges. Important considerations include balancing model performance and interpretability, understanding ML model requirements, selecting appropriate models, and addressing concerns related to data sharing. Through examining these issues, this study seeks to highlight the latest trends in leveraging AI and IOT for environmental pollution monitoring.",https://openalex.org/W4391968719,2024,Simona Mariana Popescu; Sheikh Mansoor; Owais Ali Wani,University of Craiova; Jeju National University; Sher-e-Kashmir University of Agricultural Sciences and Technology of Kashmir
The AI Digital Revolution in Innovation: A Conceptual Framework of Artificial Intelligence Technologies for the Management of Innovation,"Artificial Intelligence (AI) is an emerging technological field with immense transformative potential. Within this context, we discuss the diverse ways AI is transforming innovation. We introduce a conceptual framework in which we argue AI plays the following two roles: originator and facilitator of innovation. Additionally, we discuss different applications and implications for innovation theory and practice using a reflection on the traditional innovation process and the front end of innovation perspective. For this, we use the perspectives of AI as technology push, AI as market pull, AI to advance steps in the innovation funnel as well as AI as a contributor to new product development. Finally, we discuss future directions for research in these fields.",https://openalex.org/W3209575695,2021,Alexander Brem; Ferran Giones; Marcel Werle,University of Stuttgart
When technology meets people: the interplay of artificial intelligence and human resource management,"Purpose An original systematic review of the academic literature on applications of artificial intelligence (AI) in the human resource management (HRM) domain is carried out to capture the current state-of-the-art and prepare an original research agenda for future studies. Design/methodology/approach Fifty-nine journal articles are selected based on a holistic search and quality evaluation criteria. By using content analysis and structural concept analysis, this study elucidates the extent and impact of AI application in HRM functions, which is followed by synthesizing a concept map that illustrates how the usage of various AI techniques aids HRM decision-making. Findings A comprehensive review of the AI-HRM domain’s existing literature is presented. A concept map is synthesized to present a taxonomical overview of the AI applications in HRM. Research implications/limitations An original research agenda comprising relevant research questions is put forward to assist further developments in the AI-HRM domain. An indicative preliminary framework to help transition toward ethical AI is also presented. Originality/value This study contributes to the literature through a holistic discussion on the current state of the domain, the extent of AI application in HRM, and its current and perceived future impact on HRM functions. A preliminary ethical framework and an extensive future research agenda are developed to open new research avenues.",https://openalex.org/W3183166054,2021,Yusra Qamar; Rakesh Agrawal; Taab Ahmad Samad,Indian Institute of Management Kashipur
"Transformative Technologies in Digital Agriculture: Leveraging Internet of Things, Remote Sensing, and Artificial Intelligence for Smart Crop Management","This paper explores the potential of smart crop management based on the incorporation of tools like digital agriculture, which considers current technological tools applied in agriculture, such as the Internet of Things (IoT), remote sensing, and artificial intelligence (AI), to improve crop production efficiency and sustainability. This is essential in the context of varying climatic conditions that affect the availability of resources for agriculture. The integration of tools such as IoT and sensor networks can allow farmers to obtain real-time data on their crops, assessing key health factors, such as soil conditions, plant water status, presence of pests, and environmental factors, among others, which can finally result in data-based decision-making to optimize irrigation, fertilization, and pest control. Also, this can be enhanced by incorporating tools such as drones and unmanned aerial vehicles (UAVs), which can increase monitoring capabilities through comprehensive field surveys and high-precision crop growth tracking. On the other hand, big data analytics and AI are crucial in analyzing extensive datasets to uncover patterns and trends and provide valuable insights for improving agricultural practices. This paper highlights the key technological advancements and applications in smart crop management, addressing challenges and barriers to the global adoption of these current and new types of technologies and emphasizing the need for ongoing research and collaboration to achieve sustainable and efficient crop production.",https://openalex.org/W4400414108,2024,Fernando Fuentes-Peñailillo; Karen Gutter; Ricardo Vega,University of Talca
Machine Learning in Agriculture: A Review,"Machine learning has emerged with big data technologies and high-performance computing to create new opportunities for data intensive science in the multi-disciplinary agri-technologies domain. In this paper, we present a comprehensive review of research dedicated to applications of machine learning in agricultural production systems. The works analyzed were categorized in (a) crop management, including applications on yield prediction, disease detection, weed detection crop quality, and species recognition; (b) livestock management, including applications on animal welfare and livestock production; (c) water management; and (d) soil management. The filtering and classification of the presented articles demonstrate how agriculture will benefit from machine learning technologies. By applying machine learning to sensor data, farm management systems are evolving into real time artificial intelligence enabled programs that provide rich recommendations and insights for farmer decision support and action.",https://openalex.org/W2885770726,2018,Κωνσταντίνος Λιάκος; Patrizia Busato; Dimitrios Moshou,Centre for Research and Technology Hellas; University of Turin; Aristotle University of Thessaloniki
